Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2316_03;8043;8322;3.4689;8322;3.4689;8207;2.039;8228;2.3001;8291;3.0834
XML100_2316_23;7769;7883;1.4674;7883;1.4674;7888;1.5317;7905;1.7505;7899;1.6733
XML100_2316_24;7793;7933;1.7965;7933;1.7965;8077;3.6443;7952;2.0403;8047;3.2593
XML100_2316_25;8066;8208;1.7605;8208;1.7605;8307;2.9879;8221;1.9216;8219;1.8969
XML100_2321_04;23790;24311;2.19;24311;2.19;24311;2.19;24311;2.19;24311;2.19
XML100_2321_06;17515;18031;2.946;18031;2.946;18138;3.557;18124;3.477;18112;3.4085
XML100_2321_07;22131;22425;1.3285;22425;1.3285;22425;1.3285;22425;1.3285;22425;1.3285
XML100_2321_13;22236;22381;0.6521;22381;0.6521;22381;0.6521;22381;0.6521;22381;0.6521
XML100_2321_17;29025;29941;3.1559;29941;3.1559;29938;3.1456;29941;3.1559;29941;3.1559
XML100_2321_18;20305;20467;0.7978;20467;0.7978;20467;0.7978;20467;0.7978;20467;0.7978
XML100_2321_19;25814;26156;1.3249;26156;1.3249;26156;1.3249;26156;1.3249;26156;1.3249
XML100_2321_20;27463;27901;1.5949;27901;1.5949;27896;1.5767;27901;1.5949;27899;1.5876
XML100_2321_22;23288;23519;0.9919;23519;0.9919;23519;0.9919;23519;0.9919;23519;0.9919
XML100_2321_23;18163;18382;1.2057;18382;1.2057;18429;1.4645;18391;1.2553;18393;1.2663
XML100_2321_24;31118;31804;2.2045;31804;2.2045;31804;2.2045;31821;2.2591;31818;2.2495
XML100_2321_25;19988;20315;1.636;20315;1.636;20315;1.636;20315;1.636;20315;1.636
XML100_2322_01;16530;17006;2.8796;17006;2.8796;17108;3.4967;17108;3.4967;17115;3.539
XML100_2322_04;14728;14968;1.6295;14968;1.6295;14968;1.6295;14968;1.6295;14992;1.7925
XML100_2322_16;16354;16708;2.1646;16708;2.1646;16711;2.183;16708;2.1646;16708;2.1646
XML100_2331_25;28789;29544;2.6225;29544;2.6225;29544;2.6225;29544;2.6225;29544;2.6225
XML100_2351_06;25640;26177;2.0944;26177;2.0944;26177;2.0944;26177;2.0944;26177;2.0944
XML100_2351_26;32978;34078;3.3356;34078;3.3356;34078;3.3356;34078;3.3356;34078;3.3356
XML100_3112_16;26216;26371;0.5912;26371;0.5912;26375;0.6065;26372;0.5951;26365;0.5684
XML100_3113_09;21383;21734;1.6415;21734;1.6415;21862;2.2401;21861;2.2354;21910;2.4646
XML100_3113_18;22006;22325;1.4496;22325;1.4496;22325;1.4496;22310;1.3814;22289;1.286
XML100_3114_01;17326;17905;3.3418;17905;3.3418;17905;3.3418;17949;3.5958;17972;3.7285
XML100_3151_05;39202;39986;1.9999;39986;1.9999;40042;2.1427;39982;1.9897;40037;2.13
XML100_3151_06;46176;47203;2.2241;47203;2.2241;47196;2.2089;47416;2.6854;47400;2.6507
XML100_3151_13;55715;57199;2.6636;57199;2.6636;57136;2.5505;57326;2.8915;57259;2.7712
XML100_3151_21;37843;38699;2.262;38699;2.262;38699;2.262;38699;2.262;38699;2.262
XML100_3152_01;35606;36282;1.8986;36282;1.8986;36277;1.8845;36283;1.9014;36282;1.8986
XML100_3153_12;18624;18960;1.8041;18960;1.8041;19004;2.0404;19035;2.2068;18955;1.7773
XML100_3154_06;15423;16052;4.0783;16052;4.0783;15839;2.6973;15910;3.1576;15839;2.6973
XML100_3154_25;15929;16328;2.5049;16328;2.5049;16364;2.7309;16274;2.1659;16313;2.4107
XML100_3164_20;14817;15339;3.523;15339;3.523;15138;2.1664;15241;2.8616;15240;2.8548
XML100_3165_02;11676;12091;3.5543;12091;3.5543;11984;2.6379;11976;2.5694;12003;2.8006
XML100_3165_17;14116;14441;2.3024;14441;2.3024;14360;1.7285;14324;1.4735;14362;1.7427
XML100_3231_05;51066;53091;3.9655;53091;3.9655;52765;3.3271;53045;3.8754;53367;4.5059
XML100_3231_06;47699;49080;2.8952;49080;2.8952;49441;3.6521;49408;3.5829;49311;3.3795
