Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2234_01;9121;9121;0;9121;0;9121;0;9121;0;9121;0
XML100_2234_02;8084;8084;0;8084;0;8084;0;8084;0;8084;0
XML100_2234_04;8610;8610;0;8610;0;8610;0;8610;0;8610;0
XML100_2234_05;9621;9621;0;9621;0;9621;0;9621;0;9621;0
XML100_2234_06;8778;8778;0;8778;0;8778;0;8778;0;8778;0
XML100_2234_09;8305;8305;0;8305;0;8305;0;8305;0;8305;0
XML100_2234_10;7172;7183;0.153374;7183;0.153374;7183;0.153374;7183;0.153374;7183;0.153374
XML100_2234_11;8743;8743;0;8743;0;8743;0;8743;0;8743;0
XML100_2234_12;10236;10236;0;10236;0;10236;0;10236;0;10236;0
XML100_2234_13;10164;10164;0;10164;0;10164;0;10164;0;10164;0
XML100_2234_14;8904;8904;0;8904;0;8904;0;8904;0;8904;0
XML100_2234_15;9728;9728;0;9728;0;9728;0;9728;0;9728;0
XML100_2234_16;8152;8152;0;8152;0;8152;0;8152;0;8152;0
XML100_2234_17;8387;8387;0;8387;0;8387;0;8387;0;8387;0
XML100_2234_18;6996;6996;0;6996;0;6996;0;6996;0;6996;0
XML100_2234_20;7676;7676;0;7676;0;7676;0;7676;0;7676;0
XML100_2234_22;8058;8059;0.01241;8059;0.01241;8059;0.01241;8059;0.01241;8059;0.01241
XML100_2234_23;9432;9441;0.0954198;9441;0.0954198;9441;0.0954198;9441;0.0954198;9441;0.0954198
XML100_2234_25;8567;8567;0;8567;0;8567;0;8567;0;8567;0
XML100_2234_26;9600;9629;0.302083;9629;0.302083;9629;0.302083;9629;0.302083;9629;0.302083
